wlog_id,wlog_mid,wlog_notes,wlog_contact,wlog_contact_content,wlog_date,wlog_type,wlog_addedby
50,317,"a:15:{s:7:""content"";s:150:""for refusing to comply with einsatzrassefuhrer&#39;s demands, not having a sense of humour, and sticking his kike shmeckel where it doesn&#39;t belong"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""7"";s:9:""post_unit"";s:1:""d"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",pm,"<subject>You failed the sprudo test</subject><content>you have a week, jewboy</content>",1356938523,neg,49
51,317,"a:15:{s:7:""content"";s:35:""until we finish the vote to ban him"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:2:""10"";s:9:""post_unit"";s:1:""d"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1357264964,neg,49
76,6150,"a:15:{s:7:""content"";s:14:""Being a bitch."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1372561247,nochan,16
53,317,"a:15:{s:7:""content"";s:6:""banned"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:3:""215"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:1;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1357356687,custom,49
54,1793,"a:15:{s:7:""content"";s:50:""2 for shit posting and retarded question threads. "";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1357697959,custom,35
75,6115,"a:15:{s:7:""content"";s:102:""http://ironmarch.org/index.php?/topic/1748-your-plans-for-the-future/page__st__40__p__61013#entry61013"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""2"";s:9:""post_unit"";s:1:""d"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1372118624,neg,49
57,2288,"a:15:{s:7:""content"";s:132:""autism (pretense at logical argument while using strawmans himself) posting style reminds me of wib, though it is definitely not her"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""2"";s:9:""susp_unit"";s:1:""d"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1359908736,neg,49
58,2275,"a:15:{s:7:""content"";s:30:""For being iredeemably retarded"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""5"";s:9:""post_unit"";s:1:""d"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1360183340,custom,7
59,2871,"a:15:{s:7:""content"";s:18:""need i jest, sire?"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:1;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1360553855,custom,49
60,3491,"a:15:{s:7:""content"";s:20:""for being a faggot. "";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""1"";s:9:""post_unit"";s:1:""d"";s:10:""post_indef"";N;s:4:""susp"";s:0:"""";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1361900261,nochan,7
61,3498,"a:15:{s:7:""content"";s:106:""for &#39;god faggot&#39; comment. this kid is literally retarded and cannot even formulate a proper ad hom"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:1;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1362352763,neg,49
62,3023,"a:15:{s:7:""content"";s:17:""aryan transautism"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:1;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",pm,<subject>hahahahahaha</subject><content>you;re a faggot</content>,1364067250,custom,49
64,5113,"a:15:{s:7:""content"";s:36:""i think this guy is genuinely stupid"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""1"";s:9:""susp_unit"";s:1:""d"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1364867050,neg,49
65,2351,"a:15:{s:7:""content"";s:26:""introduction thread autism"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""2"";s:9:""susp_unit"";s:1:""d"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1365457391,neg,49
66,5590,"a:15:{s:7:""content"";s:13:""Being an ass."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""1"";s:9:""post_unit"";s:1:""d"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1366086014,neg,16
73,6114,"a:15:{s:7:""content"";s:33:""Don&#39;t get uppity, hipsterfag."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1369744537,custom,1
74,6126,"a:15:{s:7:""content"";s:4:""JIDF"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:1;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1370726060,nochan,132
69,5590,"a:15:{s:7:""content"";s:10:""vladiqueer"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""3"";s:9:""susp_unit"";s:1:""d"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1366417833,neg,49
70,5779,"a:15:{s:7:""content"";s:25:""shitskin with an attitude"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""2"";s:9:""susp_unit"";s:1:""d"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1366670161,neg,49
71,5805,"a:15:{s:7:""content"";s:5:""penis"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:2:""12"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:1;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1366838714,nochan,132
72,5805,"a:15:{s:7:""content"";s:27:""For being a rebellious kid."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:2:""12"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:1;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1366838768,neg,132
